phrase,verb-type,theme-type,phrase-type,fertilizer,insecticide,freezer,icing,canister,wrench,pump,oven,duster,vacuum,lubricant,knife,utensil,lacquer,dehydrator,saw,towel,food,polisher,vinegar,slingshot,pitcher,furnace,hammer,paint,organizer,dryer,glue,net,scissors,chisel
grow potato,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve potato,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow cucumber,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve cucumber,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow pepper,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve pepper,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden pepper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat pepper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray strawberry,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve strawberry,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray raspberry,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve raspberry,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray orange,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve orange,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
